Age,Gender,Occupation,Income,Product_Category,Purchased
65,Male,Student,60734,Health,1
57,Female,Self-employed,31596,Cosmetics,1
45,Male,Employee,35082,Books,0
48,Male,Employee,99585,Books,0
38,Female,Student,10549,Groceries,0
46,Female,Student,61998,Clothing,1
52,Female,Unemployed,96625,Books,0
36,Male,Employee,93918,Cosmetics,0
23,Male,Unemployed,39139,Books,0
41,Male,Unemployed,60469,Health,0
50,Male,Employee,80585,Cosmetics,0
65,Female,Unemployed,22411,Cosmetics,1
45,Female,Self-employed,21035,Cosmetics,1
40,Male,Self-employed,21326,Cosmetics,0
44,Male,Employee,21179,Cosmetics,0
33,Female,Unemployed,74541,Cosmetics,1
22,Female,Self-employed,70719,Cosmetics,1
55,Female,Student,46971,Books,0
50,Male,Student,58596,Clothing,1
29,Male,Student,59833,Groceries,1
45,Female,Self-employed,63580,Electronics,1
39,Male,Student,17607,Clothing,0
15,Female,Self-employed,37485,Cosmetics,1
22,Male,Unemployed,18173,Health,0
37,Female,Student,91443,Groceries,1
56,Male,Employee,35974,Cosmetics,0
38,Male,Unemployed,37935,Books,0
65,Female,Student,82174,Health,1
41,Female,Employee,64855,Books,0
33,Male,Employee,14591,Books,0
35,Male,Self-employed,34726,Electronics,0
23,Female,Unemployed,84680,Groceries,1
43,Female,Self-employed,48132,Groceries,1
37,Male,Unemployed,39009,Electronics,0
30,Male,Unemployed,47753,Electronics,0
50,Female,Employee,55749,Groceries,1
58,Male,Self-employed,50572,Books,0
17,Male,Unemployed,60140,Books,0
33,Female,Student,42720,Books,0
34,Female,Student,27243,Cosmetics,1
45,Female,Unemployed,30881,Groceries,1
58,Male,Self-employed,58946,Cosmetics,0
22,Female,Self-employed,52635,Books,0
25,Male,Self-employed,52916,Cosmetics,0
20,Male,Unemployed,52356,Books,0
39,Female,Employee,42478,Cosmetics,1
44,Female,Self-employed,28074,Clothing,1
21,Male,Employee,12816,Books,0
19,Female,Self-employed,52983,Health,0
52,Male,Student,67894,Groceries,1
16,Male,Self-employed,41460,Clothing,1
57,Male,Unemployed,85602,Cosmetics,0
43,Female,Employee,55892,Health,0
49,Female,Unemployed,41310,Cosmetics,1
37,Female,Self-employed,17281,Books,0
23,Female,Self-employed,10181,Books,0
33,Female,Student,35430,Groceries,1
47,Female,Unemployed,60151,Clothing,1
36,Female,Self-employed,40544,Books,0
47,Male,Student,59462,Books,0
65,Male,Unemployed,79202,Cosmetics,0
25,Male,Employee,16547,Books,0
36,Female,Student,20387,Groceries,1
56,Male,Unemployed,83371,Books,0
47,Male,Unemployed,17098,Health,1
62,Female,Employee,79030,Health,1
19,Female,Unemployed,54433,Clothing,1
60,Female,Self-employed,33545,Groceries,1
33,Female,Student,58206,Health,0
65,Male,Student,90016,Cosmetics,0
17,Female,Employee,51904,Groceries,1
51,Male,Self-employed,12801,Books,0
24,Male,Employee,37962,Cosmetics,0
55,Female,Unemployed,93965,Electronics,0
60,Male,Employee,61162,Books,0
32,Male,Unemployed,31086,Cosmetics,0
34,Male,Student,67708,Electronics,0
53,Male,Employee,39018,Health,1
22,Male,Unemployed,32897,Clothing,1
23,Female,Unemployed,17836,Electronics,0
16,Male,Unemployed,98889,Electronics,0
38,Female,Self-employed,74598,Groceries,1
23,Female,Unemployed,68776,Health,0
20,Female,Employee,35228,Groceries,1
25,Female,Student,87515,Books,0
62,Female,Employee,32766,Clothing,1
29,Male,Self-employed,73641,Cosmetics,0
19,Male,Unemployed,72734,Books,0
47,Female,Employee,70882,Cosmetics,1
57,Male,Self-employed,68796,Cosmetics,0
61,Female,Self-employed,15151,Groceries,1
45,Male,Employee,64617,Groceries,1
44,Male,Unemployed,45424,Clothing,1
43,Female,Self-employed,83669,Groceries,1
23,Male,Employee,41334,Groceries,1
45,Female,Student,55571,Cosmetics,1
33,Female,Student,50445,Health,0
47,Male,Employee,32479,Health,1
40,Male,Unemployed,54338,Books,0
32,Female,Unemployed,32988,Groceries,1
19,Female,Employee,71023,Cosmetics,1
61,Male,Unemployed,10038,Health,1
16,Female,Self-employed,53624,Groceries,1
43,Female,Unemployed,97469,Books,0
41,Male,Unemployed,97093,Groceries,1
20,Male,Student,61286,Clothing,1
16,Female,Self-employed,87588,Groceries,1
63,Female,Self-employed,61213,Electronics,1
29,Female,Self-employed,15222,Health,0
31,Male,Self-employed,55545,Health,0
21,Male,Employee,94104,Groceries,1
55,Male,Employee,73304,Health,1
39,Female,Unemployed,23071,Groceries,1
42,Female,Employee,14992,Electronics,0
16,Female,Self-employed,26436,Books,0
56,Female,Self-employed,36174,Groceries,1
16,Male,Student,62462,Books,0
28,Male,Unemployed,95263,Books,0
48,Female,Student,99724,Electronics,0
34,Male,Self-employed,86059,Books,0
60,Male,Self-employed,52982,Groceries,1
16,Female,Self-employed,10022,Clothing,0
29,Female,Unemployed,50343,Cosmetics,1
64,Male,Unemployed,53326,Books,0
48,Female,Self-employed,34953,Health,1
48,Female,Self-employed,63061,Cosmetics,1
36,Male,Unemployed,35979,Electronics,0
56,Female,Self-employed,85095,Clothing,1
36,Male,Employee,79806,Groceries,1
43,Male,Unemployed,68752,Electronics,0
39,Male,Self-employed,84136,Books,0
42,Male,Student,56052,Groceries,1
64,Male,Employee,60936,Health,1
62,Female,Student,82812,Clothing,1
55,Female,Unemployed,25734,Cosmetics,1
19,Female,Unemployed,42034,Health,0
21,Male,Employee,44890,Health,0
63,Female,Unemployed,34032,Electronics,0
24,Male,Employee,48853,Books,0
56,Female,Unemployed,99940,Books,0
65,Female,Unemployed,93124,Books,0
55,Female,Student,44995,Health,1
45,Male,Self-employed,18000,Electronics,0
34,Male,Student,99718,Groceries,1
60,Female,Unemployed,76535,Cosmetics,1
19,Male,Student,17028,Groceries,1
44,Female,Unemployed,38420,Clothing,1
47,Male,Employee,65672,Cosmetics,0
27,Female,Self-employed,15382,Electronics,0
38,Female,Unemployed,88445,Books,0
47,Female,Student,50195,Clothing,1
37,Female,Student,42254,Electronics,0
52,Female,Student,87953,Health,1
17,Female,Student,34764,Electronics,0
50,Female,Employee,60405,Books,0
35,Female,Student,72503,Books,0
42,Male,Self-employed,24569,Electronics,0
59,Female,Employee,45734,Groceries,1
20,Female,Employee,98736,Electronics,1
22,Female,Employee,43979,Health,0
25,Female,Unemployed,97885,Books,0
19,Female,Unemployed,16729,Clothing,0
59,Female,Self-employed,83647,Electronics,1
64,Male,Student,53307,Groceries,1
43,Female,Student,58567,Cosmetics,1
22,Male,Employee,77366,Books,0
52,Male,Unemployed,62696,Electronics,0
44,Male,Employee,83040,Books,0
41,Male,Student,22918,Electronics,0
32,Male,Student,45049,Electronics,0
36,Female,Student,43521,Electronics,0
16,Female,Employee,61349,Cosmetics,1
50,Female,Employee,39849,Groceries,1
27,Male,Self-employed,58283,Electronics,1
39,Male,Student,34471,Health,0
43,Female,Student,73518,Clothing,1
38,Female,Self-employed,78634,Health,0
51,Female,Self-employed,74635,Clothing,1
19,Female,Student,22789,Health,0
31,Female,Student,48977,Health,0
61,Female,Self-employed,31062,Health,1
62,Female,Self-employed,57295,Groceries,1
37,Female,Self-employed,40888,Electronics,1
17,Male,Self-employed,39769,Books,0
53,Male,Self-employed,79566,Electronics,1
48,Male,Self-employed,62700,Cosmetics,0
40,Male,Unemployed,41733,Groceries,1
62,Male,Student,88707,Books,0
32,Male,Student,92902,Health,0
42,Male,Unemployed,30969,Books,0
24,Male,Student,30566,Clothing,1
57,Female,Self-employed,91056,Electronics,1
51,Female,Student,65566,Books,0
43,Male,Employee,96179,Clothing,1
37,Male,Self-employed,50871,Clothing,1
22,Male,Student,69865,Health,0
15,Female,Unemployed,19561,Clothing,0
64,Male,Employee,41881,Electronics,1
16,Male,Self-employed,47276,Groceries,1
28,Female,Self-employed,87713,Cosmetics,1
55,Female,Student,23635,Groceries,1
41,Female,Employee,25658,Health,0
32,Male,Self-employed,97386,Electronics,1
51,Male,Student,80459,Cosmetics,0
45,Male,Student,28631,Clothing,1
63,Female,Student,62593,Groceries,1
18,Female,Unemployed,57281,Cosmetics,1
26,Female,Self-employed,64203,Books,0
27,Male,Unemployed,65615,Books,0
36,Male,Student,30400,Health,0
48,Female,Employee,25930,Clothing,1
31,Male,Employee,55967,Electronics,1
32,Male,Self-employed,89636,Groceries,1
32,Male,Self-employed,64844,Cosmetics,0
48,Male,Employee,82563,Health,1
39,Male,Unemployed,29903,Groceries,1
26,Male,Student,43236,Clothing,1
49,Female,Self-employed,55037,Cosmetics,1
38,Female,Self-employed,52159,Electronics,1
60,Male,Self-employed,39643,Electronics,0
38,Male,Student,38672,Clothing,1
37,Male,Employee,60698,Groceries,1
39,Female,Self-employed,12034,Electronics,0
42,Male,Self-employed,67028,Groceries,1
63,Female,Self-employed,23397,Books,0
38,Female,Self-employed,93967,Books,0
42,Male,Employee,86304,Groceries,1
16,Female,Unemployed,84365,Clothing,1
60,Male,Unemployed,60794,Health,1
25,Male,Unemployed,48094,Books,0
15,Female,Student,51003,Cosmetics,1
18,Male,Student,36283,Clothing,1
29,Male,Self-employed,91789,Health,0
30,Female,Employee,16730,Clothing,0
15,Female,Employee,75811,Clothing,1
63,Male,Unemployed,28801,Books,0
64,Male,Student,88788,Clothing,1
19,Female,Self-employed,73226,Books,0
24,Male,Student,89675,Groceries,1
49,Male,Student,51919,Cosmetics,0
24,Female,Student,64514,Cosmetics,1
28,Female,Student,59481,Electronics,0
29,Male,Student,32231,Books,0
58,Male,Student,92386,Groceries,1
62,Male,Employee,69425,Books,0
26,Female,Self-employed,84884,Cosmetics,1
62,Female,Self-employed,80040,Health,1
22,Female,Unemployed,92340,Cosmetics,1
38,Male,Employee,90032,Electronics,1
52,Female,Self-employed,87174,Electronics,1
48,Female,Student,98601,Health,1
18,Female,Employee,33701,Health,0
42,Male,Student,58628,Cosmetics,0
58,Female,Employee,38401,Electronics,0
58,Female,Unemployed,96000,Clothing,1
31,Female,Student,84252,Clothing,1
23,Male,Student,13428,Groceries,0
31,Female,Self-employed,31754,Health,0
60,Male,Unemployed,30336,Clothing,1
52,Male,Unemployed,49958,Health,1
25,Female,Employee,88934,Books,0
57,Female,Student,81671,Books,0
52,Male,Self-employed,47346,Cosmetics,0
36,Male,Unemployed,83695,Cosmetics,0
16,Female,Student,68326,Books,0
32,Male,Student,68369,Clothing,1
45,Female,Student,29687,Health,0
16,Male,Employee,70537,Clothing,1
40,Male,Student,50103,Electronics,0
64,Female,Unemployed,79554,Books,0
29,Male,Unemployed,54287,Groceries,1
38,Female,Student,81014,Groceries,1
61,Female,Student,58986,Health,1
17,Male,Unemployed,79382,Electronics,0
40,Female,Employee,54559,Groceries,1
34,Female,Student,70940,Clothing,1
32,Female,Employee,12609,Cosmetics,0
32,Male,Student,47222,Health,0
62,Female,Employee,56677,Electronics,1
56,Female,Unemployed,10025,Electronics,0
53,Male,Unemployed,50981,Clothing,1
19,Male,Employee,26106,Groceries,1
54,Male,Employee,73513,Cosmetics,0
19,Male,Unemployed,61817,Cosmetics,0
49,Female,Student,99843,Cosmetics,1
30,Female,Self-employed,82732,Cosmetics,1
62,Female,Employee,99409,Electronics,1
40,Male,Employee,83876,Electronics,1
46,Male,Employee,11350,Clothing,0
52,Male,Employee,50859,Books,0
49,Male,Self-employed,65198,Electronics,1
24,Male,Student,64700,Groceries,1
28,Male,Unemployed,41603,Groceries,1
64,Female,Employee,36741,Books,0
63,Male,Employee,49176,Health,1
25,Female,Self-employed,21418,Books,0
31,Male,Employee,30419,Electronics,0
53,Female,Self-employed,55198,Electronics,1
51,Male,Self-employed,42242,Cosmetics,0
62,Female,Unemployed,43397,Clothing,1
35,Male,Unemployed,24633,Electronics,0
41,Male,Employee,98627,Health,0
64,Female,Self-employed,43701,Books,0
17,Female,Student,73366,Clothing,1
62,Male,Unemployed,24510,Electronics,0
29,Male,Student,42535,Books,0
31,Female,Employee,61222,Cosmetics,1
15,Female,Employee,36882,Electronics,0
35,Male,Unemployed,72141,Cosmetics,0
28,Female,Unemployed,60123,Cosmetics,1
47,Male,Self-employed,57602,Books,0
26,Female,Unemployed,97670,Electronics,0
59,Female,Unemployed,85679,Clothing,1
24,Male,Self-employed,27319,Electronics,0
52,Female,Unemployed,80611,Electronics,0
30,Male,Employee,33204,Health,0
22,Male,Student,80842,Health,0
64,Male,Unemployed,60721,Groceries,1
60,Female,Employee,13600,Clothing,0
34,Female,Unemployed,99387,Groceries,1
22,Female,Self-employed,21304,Cosmetics,1
28,Male,Student,24102,Clothing,0
41,Female,Student,95831,Clothing,1
58,Male,Employee,19439,Cosmetics,0
65,Male,Unemployed,38162,Electronics,0
56,Female,Self-employed,89882,Electronics,1
40,Female,Student,23388,Health,0
49,Female,Employee,37583,Health,1
42,Female,Student,43744,Clothing,1
30,Male,Student,63671,Groceries,1
50,Female,Student,63323,Groceries,1
60,Male,Self-employed,33480,Electronics,0
62,Male,Self-employed,35392,Cosmetics,0
54,Female,Student,48840,Books,0
65,Male,Self-employed,81871,Health,1
46,Male,Unemployed,96881,Health,1
53,Female,Student,98605,Books,0
58,Female,Employee,51169,Cosmetics,1
27,Female,Self-employed,87783,Electronics,1
37,Female,Employee,68267,Electronics,1
55,Female,Employee,14236,Health,1
29,Male,Unemployed,76675,Groceries,1
43,Female,Employee,28458,Groceries,1
20,Male,Employee,81329,Health,0
60,Male,Employee,23068,Books,0
52,Male,Self-employed,22917,Cosmetics,0
55,Male,Unemployed,35946,Cosmetics,0
34,Male,Employee,68986,Clothing,1
46,Male,Self-employed,42821,Groceries,1
28,Male,Employee,23928,Health,0
50,Male,Unemployed,97323,Books,0
56,Male,Employee,65234,Cosmetics,0
45,Female,Student,24608,Groceries,1
25,Male,Student,27202,Clothing,1
41,Male,Student,17636,Electronics,0
25,Male,Employee,67883,Health,0
40,Male,Employee,67753,Health,0
32,Male,Unemployed,56708,Electronics,0
48,Female,Student,63984,Cosmetics,1
58,Female,Self-employed,66046,Clothing,1
52,Female,Self-employed,84034,Groceries,1
65,Female,Employee,17897,Health,1
48,Male,Employee,12192,Books,0
27,Female,Unemployed,45132,Cosmetics,1
37,Female,Employee,96970,Clothing,1
21,Male,Self-employed,75023,Cosmetics,0
47,Male,Self-employed,66430,Cosmetics,0
26,Female,Self-employed,52058,Books,0
33,Male,Self-employed,24053,Groceries,1
40,Female,Self-employed,20180,Clothing,0
49,Female,Employee,33801,Groceries,1
18,Male,Unemployed,42789,Books,0
42,Female,Student,74209,Groceries,1
36,Female,Employee,46134,Clothing,1
19,Female,Student,58830,Books,0
35,Female,Student,96066,Cosmetics,1
61,Male,Employee,94089,Groceries,1
50,Female,Employee,85432,Groceries,1
47,Male,Student,71375,Clothing,1
46,Female,Self-employed,25321,Electronics,0
27,Female,Unemployed,72425,Electronics,0
49,Female,Unemployed,34707,Books,0
16,Male,Employee,35558,Cosmetics,0
47,Male,Self-employed,37331,Health,1
25,Female,Self-employed,91558,Books,0
49,Female,Self-employed,15759,Books,0
58,Male,Self-employed,27844,Health,1
59,Female,Self-employed,24439,Clothing,0
34,Male,Self-employed,86921,Groceries,1
65,Female,Employee,25506,Groceries,1
25,Female,Self-employed,60239,Books,0
65,Male,Student,80116,Health,1
57,Female,Employee,13917,Electronics,0
27,Male,Student,33550,Cosmetics,0
25,Female,Employee,15837,Electronics,0
50,Male,Self-employed,54833,Cosmetics,0
31,Female,Unemployed,19653,Health,0
46,Female,Student,75398,Books,0
64,Male,Self-employed,12705,Cosmetics,0
26,Male,Employee,67343,Groceries,1
58,Female,Student,41588,Electronics,0
15,Male,Self-employed,75893,Electronics,1
60,Female,Self-employed,54204,Books,0
59,Female,Self-employed,69766,Clothing,1
44,Male,Unemployed,50880,Cosmetics,0
15,Female,Employee,54271,Health,0
27,Female,Unemployed,11414,Electronics,0
25,Female,Self-employed,85479,Groceries,1
48,Female,Student,85724,Groceries,1
50,Female,Employee,96781,Books,0
15,Male,Employee,38023,Electronics,0
33,Male,Employee,66421,Books,0
20,Female,Employee,50675,Electronics,1
31,Female,Unemployed,43098,Cosmetics,1
22,Male,Student,60108,Books,0
31,Male,Self-employed,15470,Electronics,0
63,Male,Self-employed,62943,Health,1
59,Male,Student,47237,Health,1
24,Male,Student,28932,Health,0
31,Male,Student,14794,Books,1
50,Female,Employee,56183,Books,0
22,Male,Student,27685,Books,1
27,Female,Employee,97895,Health,0
52,Male,Employee,48124,Books,0
25,Male,Employee,67054,Books,0
26,Male,Self-employed,35810,Clothing,1
27,Female,Self-employed,45347,Electronics,1
29,Male,Unemployed,57429,Clothing,1
39,Female,Student,15437,Clothing,0
38,Female,Unemployed,13907,Groceries,0
25,Male,Self-employed,47879,Electronics,1
58,Female,Self-employed,68933,Books,0
46,Female,Employee,82859,Electronics,1
33,Male,Unemployed,39886,Groceries,1
48,Female,Unemployed,82851,Health,1
52,Female,Student,78474,Clothing,1
64,Female,Employee,73479,Clothing,1
25,Male,Student,45686,Books,0
40,Male,Employee,19319,Books,0
27,Female,Self-employed,60933,Health,0
51,Male,Student,47188,Cosmetics,0
40,Female,Self-employed,84512,Clothing,1
36,Male,Unemployed,44017,Electronics,0
56,Male,Unemployed,50494,Clothing,1
53,Male,Self-employed,33999,Books,0
26,Female,Unemployed,67961,Health,0
43,Female,Self-employed,67462,Electronics,1
16,Male,Employee,73495,Health,0
33,Female,Student,31568,Books,0
48,Female,Employee,92996,Books,0
53,Female,Employee,71535,Groceries,1
20,Female,Employee,47359,Electronics,1
28,Male,Self-employed,74810,Groceries,1
39,Female,Unemployed,57718,Books,0
24,Male,Student,15839,Books,1
22,Male,Unemployed,36956,Clothing,1
20,Female,Self-employed,27391,Health,0
17,Female,Unemployed,59050,Groceries,1
23,Female,Student,99473,Clothing,1
35,Male,Self-employed,29971,Groceries,1
50,Male,Self-employed,36892,Groceries,1
17,Male,Student,96011,Clothing,1
57,Male,Student,34587,Groceries,1
25,Male,Student,83278,Cosmetics,0
23,Female,Student,55229,Clothing,1
51,Female,Self-employed,32660,Books,0
20,Female,Student,10448,Cosmetics,0
57,Male,Unemployed,35302,Electronics,0
22,Female,Employee,35100,Groceries,1
19,Female,Student,57090,Cosmetics,1
24,Female,Student,95165,Books,0
42,Female,Unemployed,60606,Books,0
46,Male,Student,74625,Groceries,1
28,Male,Student,57015,Groceries,1
54,Male,Employee,77062,Groceries,1
51,Male,Self-employed,86623,Clothing,1
56,Male,Student,22743,Cosmetics,0
23,Female,Unemployed,37136,Books,0
47,Female,Self-employed,11046,Health,1
36,Male,Student,14672,Clothing,0
63,Female,Student,68147,Health,1
18,Male,Self-employed,89681,Health,0
22,Male,Student,72859,Health,0
32,Female,Student,87271,Electronics,0
50,Female,Unemployed,10191,Electronics,0
32,Male,Self-employed,24915,Cosmetics,0
22,Female,Self-employed,10764,Groceries,0
55,Male,Unemployed,40513,Clothing,1
63,Female,Student,42610,Health,1
22,Male,Employee,31390,Electronics,0
33,Male,Employee,92241,Cosmetics,0
42,Male,Self-employed,49494,Health,0
44,Female,Unemployed,34389,Clothing,1
43,Female,Employee,22365,Clothing,0
62,Male,Unemployed,65940,Groceries,1
24,Male,Unemployed,64509,Books,0
61,Male,Unemployed,10852,Groceries,0
27,Male,Self-employed,14544,Electronics,0
62,Male,Student,38830,Groceries,1
16,Male,Self-employed,15692,Groceries,1
60,Male,Unemployed,42817,Clothing,1
46,Male,Employee,27366,Cosmetics,0
58,Male,Unemployed,82407,Health,1
47,Female,Self-employed,77937,Electronics,1
63,Male,Employee,73402,Books,0
25,Male,Student,33237,Electronics,0
29,Female,Unemployed,57421,Clothing,1
52,Male,Self-employed,74521,Cosmetics,0
57,Female,Self-employed,74637,Health,1
23,Male,Unemployed,70474,Books,0
32,Female,Employee,84945,Books,0
44,Female,Unemployed,98102,Groceries,1
60,Male,Unemployed,98239,Health,1
31,Male,Student,47583,Electronics,0
29,Male,Student,10429,Clothing,0
63,Female,Employee,95342,Clothing,1
40,Female,Unemployed,27779,Books,0
24,Male,Self-employed,49416,Clothing,1
41,Female,Self-employed,33491,Cosmetics,1
65,Male,Employee,12994,Cosmetics,0
24,Male,Self-employed,42665,Health,0
43,Male,Unemployed,19709,Electronics,0
53,Male,Self-employed,15183,Groceries,1
61,Male,Employee,72089,Health,1
48,Male,Student,93745,Clothing,1
59,Male,Employee,10448,Health,1
64,Female,Unemployed,86737,Health,1
59,Male,Unemployed,64953,Clothing,1
50,Female,Student,27856,Cosmetics,1
20,Female,Employee,49330,Books,0
27,Female,Unemployed,53297,Groceries,1
42,Female,Student,88459,Groceries,1
43,Male,Unemployed,41642,Cosmetics,0
41,Male,Self-employed,81829,Groceries,1
43,Female,Student,81699,Health,0
55,Male,Employee,47799,Clothing,1
65,Male,Employee,47641,Clothing,1
17,Female,Unemployed,58277,Books,0
26,Male,Self-employed,19247,Electronics,0
28,Female,Self-employed,38311,Cosmetics,1
27,Male,Unemployed,12753,Books,0
36,Female,Unemployed,78006,Books,0
49,Female,Unemployed,71593,Electronics,0
39,Female,Self-employed,89701,Health,0
21,Male,Self-employed,56507,Clothing,1
29,Female,Employee,82865,Electronics,1
60,Female,Unemployed,24821,Health,1
43,Female,Self-employed,14607,Clothing,0
64,Male,Student,16953,Health,1
37,Male,Employee,18161,Books,0
43,Male,Employee,28099,Cosmetics,0
63,Male,Employee,77595,Health,1
65,Male,Self-employed,93117,Clothing,1
56,Male,Employee,31700,Electronics,0
41,Male,Self-employed,25894,Groceries,1
